content,sources ,ratingCategories,title,garageIds
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",DataFile,promotor,Promoteur 2,5c8f9f707b345e0015f8b1a0
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",DataFile,promotor,Promoteur 2,5c8fa1847b345e0015f8b1c9
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",DataFile,promotor,Promoteur 2,5c989f6ab231590015d34089
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",DataFile,promotor,Promoteur 2,5c98a09db231590015d3423a
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",DataFile,promotor,Promoteur 2,5c98a1dab231590015d345c4
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",DataFile,promotor,Promoteur 2,5c98a27bb231590015d34782
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",DataFile,promotor,Promoteur 2,5c98a365b231590015d34a3f
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",Facebook,promotor,Promoteur 2,5c8f9f707b345e0015f8b1a0
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",Facebook,promotor,Promoteur 2,5c8fa1847b345e0015f8b1c9
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",Facebook,promotor,Promoteur 2,5c989f6ab231590015d34089
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",Facebook,promotor,Promoteur 2,5c98a09db231590015d3423a
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",Facebook,promotor,Promoteur 2,5c98a1dab231590015d345c4
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",Facebook,promotor,Promoteur 2,5c98a27bb231590015d34782
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",Facebook,promotor,Promoteur 2,5c98a365b231590015d34a3f
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",Google,promotor,Promoteur 2,5c8f9f707b345e0015f8b1a0
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",Google,promotor,Promoteur 2,5c8fa1847b345e0015f8b1c9
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",Google,promotor,Promoteur 2,5c989f6ab231590015d34089
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",Google,promotor,Promoteur 2,5c98a09db231590015d3423a
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",Google,promotor,Promoteur 2,5c98a1dab231590015d345c4
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",Google,promotor,Promoteur 2,5c98a27bb231590015d34782
"Bonjour, Nous vous remercions pour votre retour d’expérience dans notre établissement Groupe Aubin. La satisfaction de nos clients étant notre priorité, nous nous efforçons de vous fournir des prestations de qualité. Nous sommes ravis de pouvoir vous compter parmi nos clients, et que vous soyez satisfait de nos services. Au plaisir de vous accueillir lors de votre prochaine visite, Votre équipe @Nom du garage @Nom du groupe",Google,promotor,Promoteur 2,5c98a365b231590015d34a3f
"Bonjour , Merci pour votre note et votre commentaire. La satisfaction de nos clients est primordiale pour nous et nous sommes ravis d'avoir pu répondre à votre demande. En espérant avoir le plaisir de vous retrouver prochainement, BGA Motors Vienne - Passion Automobiles",DataFile,promotor,Promoteur 9,5cf13ff91dd50800154245a7
"Bonjour , Merci pour votre note et votre commentaire. La satisfaction de nos clients est primordiale pour nous et nous sommes ravis d'avoir pu répondre à votre demande. En espérant avoir le plaisir de vous retrouver prochainement, BGA Motors Vienne - Passion Automobiles",DataFile,promotor,Promoteur 9,5d5e96e331f9d00015d97e6b
